% PlotTitle: "Multiantenna Matching"
% X axis: "Frequency [GHz]"
% Y axis: "Efficiency and S parameters [dB]"
"Frequency [GHz]"	"S11"	"Efficiency 1"
3,344	-0,530195	-9,90843
3,348	-0,507296	-10,1108
3,352	-0,486045	-10,3084
3,356	-0,466301	-10,5013
3,36	-0,447932	-10,6898
3,364	-0,430803	-10,8739
3,368	-0,414803	-11,054
3,372	-0,399823	-11,2302
3,376	-0,38578	-11,4029
3,38	-0,372623	-11,5722
3,384	-0,360252	-11,7382
3,388	-0,348638	-11,901
3,392	-0,33769	-12,0606
3,396	-0,327368	-12,2171
3,4	-0,317639	-12,3703
3,404	-0,30847	-12,5202
3,408	-0,299831	-12,6666
3,412	-0,291697	-12,8093
3,416	-0,284038	-12,9483
3,42	-0,276836	-13,0835
3,424	-0,270101	-13,2148
3,428	-0,263759	-13,3425
3,432	-0,257781	-13,4665
3,436	-0,252156	-13,587
3,44	-0,246838	-13,7044
3,444	-0,241789	-13,8192
3,448	-0,236972	-13,9316
3,452	-0,232359	-14,042
3,456	-0,227925	-14,151
